event_id,channel,type,min,max,std
traindata_20181009_160007,sgRABL,strain,,,
traindata_20181009_160007,sgRAAB,strain,,,
traindata_20181009_160007,sgRAAL,strain,,,
traindata_20181010_071007,aBD11Az,accel,-0.7777239612847854,0.7683787103203253,0.06514512758898329
traindata_20181010_071007,aBD17Ay,accel,,,
traindata_20181010_071007,aBD17Az,accel,-0.7449933423281943,0.8711457269419092,0.07928318867645608
traindata_20181010_071007,aBD17Cz,accel,,,
traindata_20181010_071007,aBD23Ay,accel,,,
traindata_20181010_071007,aBD23Az,accel,,,
traindata_20181010_071007,aAR0910Ay,accel,,,
traindata_20181010_071007,aAR0910Cy,accel,,,
traindata_20181010_071007,aAR1516Ay,accel,,,
traindata_20181010_071007,aAR1516Cy,accel,,,
traindata_20181010_071007,aAR2122Ay,accel,,,
traindata_20181010_071007,aAR2122Cy,accel,,,
traindata_20181010_071007,sgBD1011A,strain,-5.1633373568468624e-06,1.8676971739837057e-06,9.974491035697102e-07
traindata_20181010_071007,sgBD1415A,strain,-9.548028470337887e-06,5.583389626295858e-06,2.360029469102792e-06
traindata_20181010_071007,sgBD1718A,strain,,,
traindata_20181010_071007,sgBD1718C,strain,-1.2740242887391559e-05,4.958539960840612e-05,1.0640367923793396e-05
traindata_20181010_071007,sgBD2324AB,strain,,,
traindata_20181010_071007,sgBD2324AT,strain,,,
traindata_20181010_071007,sgBD2324C,strain,-1.5504514128870397e-05,4.783283480372982e-05,1.0267739303140329e-05
traindata_20181010_071007,sgBD2728A,strain,-4.682037953853924e-06,1.093613824484752e-05,1.485859026158337e-06
traindata_20181010_071007,sgDI20ALB,strain,,,
traindata_20181010_071007,sgDI20ALL,strain,,,
traindata_20181010_071007,sgDI23ALB,strain,,,
traindata_20181010_071007,sgDI23ALL,strain,,,
traindata_20181010_071007,sgRABB,strain,,,
traindata_20181010_071007,sgRABL,strain,,,
traindata_20181010_071007,sgRAAB,strain,,,
traindata_20181010_071007,sgRAAL,strain,,,
traindata_20181010_160302,aBD11Az,accel,-0.5437656732245815,0.5933024706013331,0.0507479708079039
traindata_20181010_160302,aBD17Ay,accel,-0.9719524876572833,0.8688667977827026,0.05031694615130774
traindata_20181010_160302,aBD17Az,accel,-2.994583355875424,2.9993594206528633,0.17201056768015222
traindata_20181010_160302,aBD17Cz,accel,-3.6830109127178066,4.912456688088531,0.18372206188528026
traindata_20181010_160302,aBD23Ay,accel,-0.7469486424529754,1.0431772191340982,0.04393765896212572
traindata_20181010_160302,aBD23Az,accel,-0.700073067730925,0.7953922923713952,0.058351435742653945
traindata_20181010_160302,aAR0910Ay,accel,,,
traindata_20181010_160302,aAR0910Cy,accel,,,
traindata_20181010_160302,aAR1516Ay,accel,,,
traindata_20181010_160302,aAR1516Cy,accel,,,
traindata_20181010_160302,aAR2122Ay,accel,,,
traindata_20181010_160302,aAR2122Cy,accel,,,
traindata_20181010_160302,sgBD1011A,strain,-2.9168529515330498e-06,6.010430478310555e-06,1.0959642115164968e-06
traindata_20181010_160302,sgBD1415A,strain,-5.5856602433067585e-06,1.4323692810098466e-06,1.0125552940505796e-06
traindata_20181010_160302,sgBD1718A,strain,,,
traindata_20181010_160302,sgBD1718C,strain,-1.2472493151092308e-06,4.328928302494399e-05,1.0060760214575107e-05
traindata_20181010_160302,sgBD2324AB,strain,-5.96524926237455e-06,3.3914497212050054e-06,1.3431059062986834e-06
traindata_20181010_160302,sgBD2324AT,strain,,,
traindata_20181010_160302,sgBD2324C,strain,-1.9787606981421456e-06,3.844747798565165e-05,9.99085735422502e-06
traindata_20181010_160302,sgBD2728A,strain,-3.332476426695139e-06,1.5665959353058176e-05,2.7767797736675408e-06
traindata_20181010_160302,sgDI20ALB,strain,,,
traindata_20181010_160302,sgDI20ALL,strain,,,
traindata_20181010_160302,sgDI23ALB,strain,,,
traindata_20181010_160302,sgDI23ALL,strain,,,
traindata_20181010_160302,sgRABB,strain,,,
traindata_20181010_160302,sgRABL,strain,,,
traindata_20181010_160302,sgRAAB,strain,,,
traindata_20181010_160302,sgRAAL,strain,,,
traindata_20181011_070554,aBD11Az,accel,-0.7930599817138253,0.8059902055448307,0.059726445984141834
traindata_20181011_070554,aBD17Ay,accel,-0.8961123607938212,0.9650252043210549,0.05284461310748088
traindata_20181011_070554,aBD17Az,accel,-2.451474566204726,2.3106144486429896,0.20177118534682753
traindata_20181011_070554,aBD17Cz,accel,-2.1055874088281876,1.8363050218177435,0.16527087309883842
traindata_20181011_070554,aBD23Ay,accel,-0.6157248552976348,0.7346817471245914,0.044589750390638484
traindata_20181011_070554,aBD23Az,accel,-0.7261156811433908,0.6317079151566366,0.06403000334609216
traindata_20181011_070554,aAR0910Ay,accel,,,
traindata_20181011_070554,aAR0910Cy,accel,,,
traindata_20181011_070554,aAR1516Ay,accel,,,
traindata_20181011_070554,aAR1516Cy,accel,,,
traindata_20181011_070554,aAR2122Ay,accel,,,
traindata_20181011_070554,aAR2122Cy,accel,,,
traindata_20181011_070554,sgBD1011A,strain,-3.960846437918951e-06,6.360096333165498e-06,1.0596520396765406e-06
traindata_20181011_070554,sgBD1415A,strain,-7.051298441871555e-06,1.4733130297210585e-06,1.5424663241569085e-06
traindata_20181011_070554,sgBD1718A,strain,,,
traindata_20181011_070554,sgBD1718C,strain,-1.6306603375565632e-06,5.2031758879140724e-05,1.3840521033400521e-05
traindata_20181011_070554,sgBD2324AB,strain,-6.7835003847912694e-06,5.06148713678754e-06,1.5809929083201997e-06
traindata_20181011_070554,sgBD2324AT,strain,,,
traindata_20181011_070554,sgBD2324C,strain,-1.5000897134911212e-06,5.029033460914148e-05,1.3508909983360798e-05
traindata_20181011_070554,sgBD2728A,strain,-1.077810481457521e-06,1.8924097629079087e-05,3.576679490699721e-06
traindata_20181011_070554,sgDI20ALB,strain,,,
traindata_20181011_070554,sgDI20ALL,strain,,,
traindata_20181011_070554,sgDI23ALB,strain,,,
traindata_20181011_070554,sgDI23ALL,strain,,,
traindata_20181011_070554,sgRABB,strain,,,
